,white_user_id,white_elo,white_aggressiveness,white_total_time,white_early_times_mean,white_early_times_median,white_early_times_variance,white_early_times_max,white_early_times_min,white_mid_times_mean,white_mid_times_median,white_mid_times_variance,white_mid_times_max,white_mid_times_min,white_end_times_mean,white_end_times_median,white_end_times_variance,white_end_times_max,white_end_times_min,black_user_id,black_elo,black_aggressiveness,black_total_time,black_early_times_mean,black_early_times_median,black_early_times_variance,black_early_times_max,black_early_times_min,black_mid_times_mean,black_mid_times_median,black_mid_times_variance,black_mid_times_max,black_mid_times_min,black_end_times_mean,black_end_times_median,black_end_times_variance,black_end_times_max,black_end_times_min,game_link,opening,result,movements,total_time,points_balance,taken_balance,opening_enc
1717,Mishel52,2216,0.5,507.0,8.2,7.0,26.159999999999997,17.0,2.0,21.0,17.5,454.8333333333333,87.0,5.0,15.727272727272727,14.0,116.19834710743802,36.0,2.0,chess_eschool_rokh,1903,2.5,581.0,5.1,2.5,40.290000000000006,20.0,1.0,23.166666666666668,8.0,1023.3055555555555,110.0,1.0,22.90909090909091,18.0,584.4462809917355,81.0,1.0,https://lichess.org/ScLIR9Wq,Sicilian Defense: Open,2,68,1088.0,-3,1,923
1718,Edit0895,1944,0.0,251.0,9.0,9.0,36.0,15.0,3.0,39.25,35.5,1180.6875,82.0,4.0,38.0,38.0,1156.0,72.0,4.0,Mishel52,2213,2.0,71.0,6.0,6.0,1.0,7.0,5.0,10.25,11.0,16.1875,15.0,4.0,9.0,9.0,9.0,12.0,6.0,https://lichess.org/JsL2QsTv,French Defense: Advance Variation,2,18,322.0,-1,-1,235
1719,Bubennn,1867,0.0,527.0,2.4444444444444446,2.0,5.802469135802468,9.0,1.0,31.727272727272727,13.0,2239.1074380165296,153.0,1.0,17.333333333333332,8.0,524.6666666666666,76.0,0.0,Mishel52,2211,0.0,443.0,5.666666666666667,5.0,10.888888888888888,13.0,2.0,24.636363636363637,19.0,326.2314049586776,70.0,4.0,13.444444444444445,9.0,187.80246913580248,47.0,3.0,https://lichess.org/cWFXLHyW,French Defense: Steiner Variation,2,60,970.0,-8,-4,282
1720,Mishel52,2224,0.0,793.0,5.666666666666667,5.0,2.888888888888889,8.0,4.0,28.125,16.5,814.859375,97.0,6.0,76.28571428571429,61.0,2689.6326530612246,180.0,17.0,Merkulov2411,1825,0.0,611.0,13.666666666666666,9.5,174.55555555555557,33.0,1.0,41.0,19.5,3674.5,201.0,12.0,28.714285714285715,27.0,80.77551020408164,41.0,16.0,https://lichess.org/ukhCwa5c,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",2,44,1404.0,-2,0,874
1721,Mishel52,2221,2.0,683.0,7.0,6.0,3.4285714285714284,10.0,5.0,18.444444444444443,12.0,223.35802469135803,45.0,4.0,58.5,44.5,1973.25,137.0,11.0,chessout,1923,2.0,1154.0,7.571428571428571,7.0,29.95918367346939,16.0,2.0,100.0,49.0,10793.111111111111,325.0,12.0,28.714285714285715,21.0,429.06122448979596,70.0,1.0,https://lichess.org/4TUT1ZkG,Four Knights Game: Italian Variation,0,49,1837.0,1,1,226
1722,lapserdak,2008,0.5,385.0,8.0,4.5,67.8,29.0,2.0,17.076923076923077,14.0,179.30177514792894,50.0,4.0,7.545454545454546,4.0,54.793388429752056,27.0,2.0,Mishel52,2225,0.5,563.0,9.9,7.5,44.09,26.0,3.0,26.307692307692307,29.0,130.36686390532543,44.0,4.0,12.2,8.5,94.35999999999999,39.0,4.0,https://lichess.org/oeFrR1nc,"French Defense: Exchange Variation, Monte Carlo Variation",1,69,948.0,-1,-1,265
1723,natanzian,1971,0.5,415.0,4.3,4.5,6.409999999999999,8.0,1.0,11.461538461538462,8.0,112.71005917159762,40.0,2.0,20.272727272727273,16.0,297.2892561983471,65.0,4.0,Mishel52,2222,2.0,314.0,8.4,5.5,64.64,32.0,3.0,8.76923076923077,8.0,14.485207100591715,15.0,3.0,11.6,11.0,28.840000000000003,26.0,6.0,https://lichess.org/MOjvoTHO,"French Defense: Advance Variation, Main Line",2,69,729.0,-2,-2,238
1724,Mishel52,2219,0.0,612.0,9.11111111111111,7.0,35.65432098765432,23.0,3.0,26.363636363636363,16.0,816.413223140496,113.0,9.0,24.0,13.0,754.6,100.0,5.0,a1392,1976,0.0,925.0,17.77777777777778,14.0,183.50617283950618,43.0,4.0,49.27272727272727,40.0,1448.380165289256,119.0,3.0,24.77777777777778,18.0,805.9506172839506,78.0,2.0,https://lichess.org/jaJK5bwo,"Sicilian Defense: Modern Variations, Main Line",0,61,1537.0,5,1,894
1725,Mishel52,2214,0.0,160.0,5.0,4.0,6.8,10.0,3.0,10.142857142857142,9.0,29.551020408163264,20.0,4.0,10.666666666666666,10.5,8.555555555555555,16.0,7.0,KaladinKingkiller,2074,0.0,261.0,5.4,1.0,64.24,21.0,0.0,8.571428571428571,6.0,32.816326530612244,17.0,3.0,34.8,26.0,624.96,72.0,2.0,https://lichess.org/uRk7ugFj,"Sicilian Defense: Modern Variations, Main Line",0,37,421.0,0,0,894
1726,fraschmi,2016,0.0,1170.0,14.916666666666666,8.5,277.74305555555554,63.0,2.0,55.733333333333334,14.0,4932.462222222222,218.0,3.0,11.923076923076923,6.0,196.37869822485212,55.0,1.0,Mishel52,2210,2.0,719.0,19.666666666666668,11.0,240.72222222222217,52.0,7.0,25.8,15.0,447.36,71.0,7.0,7.384615384615385,6.0,28.544378698224854,24.0,2.0,https://lichess.org/bjVyojUx,"Caro-Kann Defense: Advance Variation, Bayonet Attack",2,82,1889.0,-1,-1,91
