,user_id,game_link,elo,colour,opening,result,movements,total_time_player,total_time,early_times_mean,early_times_median,early_times_variance,early_times_max,early_times_min,mid_times_mean,mid_times_median,mid_times_variance,mid_times_max,mid_times_min,end_times_mean,end_times_median,end_times_variance,end_times_max,end_times_min,points_balance,taken_balance,aggressiveness
30,easygear3428,https://lichess.org/RGB2unIH,2088,White,King's Indian Defense: Steiner Attack,2,45,515.0,985.0,2.1666666666666665,2.0,0.8055555555555555,4.0,1.0,27.666666666666668,16.0,1344.8888888888887,115.0,1.0,36.142857142857146,10.0,2146.1224489795923,140.0,1.0,0,0,0.0
31,billow1,https://lichess.org/RGB2unIH,2260,Black,King's Indian Defense: Steiner Attack,0,45,470.0,985.0,2.3333333333333335,1.5,3.8888888888888893,5.0,0.0,20.77777777777778,12.0,336.17283950617286,55.0,1.0,44.833333333333336,22.0,2940.472222222222,158.0,3.0,0,0,0.0
32,TheLaw7,https://lichess.org/bRhBOmwG,2027,White,Nimzo-Larsen Attack: Modern Variation,2,137,1797.0,3292.0,39.0,27.0,1469.142857142857,156.0,1.0,24.666666666666668,18.0,541.3888888888888,82.0,1.0,16.782608695652176,11.0,218.17013232514185,57.0,0.0,2,2,0.5
33,billow1,https://lichess.org/bRhBOmwG,2275,Black,Nimzo-Larsen Attack: Modern Variation,0,137,1495.0,3292.0,22.523809523809526,9.0,843.4875283446712,119.0,3.0,22.708333333333332,12.0,564.3732638888888,98.0,2.0,21.681818181818183,12.0,697.0351239669421,119.0,2.0,-2,-2,2.5
34,billow1,https://lichess.org/k5idwsQm,2272,White,Queen's Gambit Declined: 4. Bg5 Be7,2,37,283.0,514.0,4.8,5.0,4.5600000000000005,8.0,2.0,10.571428571428571,5.0,202.53061224489798,45.0,2.0,30.833333333333332,6.5,1524.8055555555559,105.0,3.0,0,0,0.0
35,njmnjm,https://lichess.org/k5idwsQm,1994,Black,Queen's Gambit Declined: 4. Bg5 Be7,0,37,231.0,514.0,2.8,3.0,1.3599999999999999,4.0,1.0,15.857142857142858,8.0,230.12244897959178,49.0,3.0,21.2,10.0,649.3599999999999,71.0,2.0,0,0,0.0
36,RodrigoFerreira,https://lichess.org/G8wBCqnb,1921,White,English Opening: Anglo-Indian Defense,0,22,79.0,136.0,3.5,3.5,2.25,5.0,2.0,12.2,4.0,175.76000000000002,37.0,2.0,3.6666666666666665,4.0,0.22222222222222224,4.0,3.0,-6,-2,0.0
37,billow1,https://lichess.org/G8wBCqnb,2269,Black,English Opening: Anglo-Indian Defense,2,22,57.0,136.0,3.0,3.0,1.0,4.0,2.0,2.8,3.0,0.5599999999999999,4.0,2.0,12.333333333333334,16.0,44.22222222222222,18.0,3.0,6,2,0.0
38,billow1,https://lichess.org/nZrLurk4,2267,White,"Queen's Gambit Accepted: Central Variation, Alekhine System",2,93,985.0,2401.0,17.785714285714285,11.5,267.16836734693874,50.0,2.0,25.294117647058822,24.0,555.2664359861591,82.0,1.0,20.4,11.0,536.3733333333333,74.0,2.0,0,0,0.0
39,beef89,https://lichess.org/nZrLurk4,1912,Black,"Queen's Gambit Accepted: Central Variation, Alekhine System",0,93,1416.0,2401.0,26.642857142857142,20.5,882.9438775510205,126.0,1.0,45.94117647058823,28.0,2806.2906574394465,216.0,1.0,18.714285714285715,10.0,306.48979591836735,65.0,2.0,0,0,2.5
40,PirateAttack5,https://lichess.org/OvNY7eij,2014,White,Réti Opening,0,18,109.0,194.0,6.0,6.0,1.0,7.0,5.0,20.0,17.0,109.0,37.0,9.0,8.5,8.5,0.25,9.0,8.0,0,0,0.0
41,billow1,https://lichess.org/OvNY7eij,2262,Black,Réti Opening,2,18,85.0,194.0,4.0,4.0,1.0,5.0,3.0,11.0,11.5,31.5,17.0,4.0,16.5,16.5,110.25,27.0,6.0,0,0,2.0
42,billow1,https://lichess.org/pGkQbTSU,2257,White,Nimzo-Indian Defense: Fischer Variation,2,85,1339.0,2382.0,22.53846153846154,2.0,1511.4792899408278,149.0,1.0,34.8,23.0,1363.6266666666666,121.0,2.0,37.42857142857143,16.0,2383.8163265306116,179.0,2.0,2,0,0.0
43,Tinju_Angin,https://lichess.org/pGkQbTSU,2045,Black,Nimzo-Indian Defense: Fischer Variation,0,85,1043.0,2382.0,6.769230769230769,4.0,34.1775147928994,16.0,1.0,24.133333333333333,13.0,702.6488888888888,86.0,2.0,45.61538461538461,11.0,3826.852071005917,209.0,2.0,-2,0,0.0
44,AlcianBlue,https://lichess.org/YiopQtnz,2036,White,Sicilian Defense,0,80,1400.0,2531.0,6.083333333333333,4.5,13.576388888888891,15.0,2.0,43.357142857142854,24.0,2919.94387755102,206.0,0.0,55.38461538461539,47.0,4466.236686390532,258.0,2.0,-5,-1,0.0
